ENSP00000435236	ENSG00000135597	REPS1
ENSP00000435237	ENSG00000173327	MAP3K11
ENSP00000385025	ENSG00000176994	SMCR8
ENSP00000400284	ENSG00000176695	OR4F17
ENSP00000414143	ENSG00000237687	C20orf90
ENSP00000418455	ENSG00000068885	IFT80
ENSP00000418454	ENSG00000133256	PDE6B
ENSP00000418457	ENSG00000114098	ARMC8
ENSP00000418456	ENSG00000163581	SLC2A2
ENSP00000418451	ENSG00000090263	MRPS33
ENSP00000418450	ENSG00000095794	CREM
ENSP00000418453	ENSG00000181355	OFCC1
ENSP00000418452	ENSG00000250588	IQCJ-SCHIP1
ENSP00000379855	ENSG00000145675	PIK3R1
ENSP00000441611	ENSG00000065320	NTN1
ENSP00000379857	ENSG00000122694	GLIPR2
ENSP00000418459	ENSG00000112078	KCTD20
ENSP00000418458	ENSG00000106686	C9orf68
ENSP00000441610	ENSG00000065559	MAP2K4
ENSP00000408803	ENSG00000125037	TMEM111
ENSP00000408802	ENSG00000110619	CARS
ENSP00000408801	ENSG00000079215	SLC1A3
ENSP00000408800	ENSG00000091536	MYO15A
ENSP00000408806	ENSG00000055950	MRPL43
ENSP00000378180	ENSG00000166164	BRD7
ENSP00000378181	ENSG00000166164	BRD7
ENSP00000378182	ENSG00000162236	STX5
ENSP00000378183	ENSG00000126822	PLEKHG3
ENSP00000378184	ENSG00000126858	RHOT1
ENSP00000303437	ENSG00000171045	TSNARE1
ENSP00000303434	ENSG00000170185	USP38
ENSP00000378187	ENSG00000121281	ADCY7
ENSP00000359978	ENSG00000197568	HHLA3
ENSP00000359970	ENSG00000050628	PTGER3
ENSP00000359972	ENSG00000050628	PTGER3
ENSP00000359973	ENSG00000165675	ENOX2
ENSP00000310193	ENSG00000175463	TBC1D10C
ENSP00000359976	ENSG00000116761	CTH
ENSP00000359977	ENSG00000112146	FBXO9
ENSP00000397629	ENSG00000092929	UNC13D
ENSP00000397625	ENSG00000100342	APOL1
ENSP00000397622	ENSG00000232013	AC107021.1
ENSP00000397623	ENSG00000213699	C2orf18
ENSP00000397620	ENSG00000129925	TMEM8A
ENSP00000381929	ENSG00000157540	DYRK1A
ENSP00000419620	ENSG00000114771	AADAC
ENSP00000248228	ENSG00000104938	CLEC4M
ENSP00000390636	ENSG00000162105	SHANK2
ENSP00000272879	ENSG00000003400	CASP10
ENSP00000390630	ENSG00000183246	RIMBP3C
ENSP00000267008	ENSG00000139567	ACVRL1
ENSP00000419324	ENSG00000196998	WDR45
ENSP00000419325	ENSG00000172340	SUCLG2
ENSP00000419327	ENSG00000197157	SND1
ENSP00000419320	ENSG00000049541	RFC2
ENSP00000378729	ENSG00000109107	ALDOC
ENSP00000419322	ENSG00000163848	ZNF148
ENSP00000378725	ENSG00000126777	KTN1
ENSP00000412757	ENSG00000196642	C9orf86
ENSP00000419328	ENSG00000078070	MCCC1
ENSP00000378721	ENSG00000138674	SEC31A
ENSP00000378722	ENSG00000126777	KTN1
ENSP00000378723	ENSG00000242092	HLA-DMB
ENSP00000334779	ENSG00000168781	PPIP5K1
ENSP00000363809	ENSG00000112473	SLC39A7
ENSP00000363808	ENSG00000142798	HSPG2
ENSP00000363805	ENSG00000142798	HSPG2
ENSP00000363804	ENSG00000136826	KLF4
ENSP00000363807	ENSG00000112473	SLC39A7
ENSP00000370532	ENSG00000122034	GTF3A
ENSP00000432342	ENSG00000146670	CDCA5
ENSP00000336735	ENSG00000129116	PALLD
ENSP00000336733	ENSG00000136840	ST6GALNAC4
ENSP00000229239	ENSG00000111640	GAPDH
ENSP00000229238	ENSG00000111639	MRPL51
ENSP00000336739	ENSG00000079335	CDC14A
ENSP00000341987	ENSG00000187918	OR51I2
ENSP00000326259	ENSG00000181616	OR52H1
ENSP00000326253	ENSG00000132026	RTBDN
ENSP00000346918	ENSG00000197775	C14orf167
