ENSP00000229239	GAPDH
ENSP00000229238	MRPL51
ENSP00000336739	CDC14A
ENSP00000341987	OR51I2
ENSP00000326259	OR52H1
ENSP00000326253	RTBDN
ENSP00000346918	C14orf167
ENSP00000407832	SUMF2
ENSP00000256852	RAX
ENSP00000317357	OR13D1
ENSP00000245138	CNOT1
ENSP00000256858	KIAA1468
ENSP00000317359	CCDC136
ENSP00000421991	MTRR
ENSP00000266754	GAS2L3
ENSP00000437210	RBBP4
ENSP00000437211	ALG9
ENSP00000437212	RFWD2
ENSP00000437213	HLA-DOB
ENSP00000437214	EBAG9
ENSP00000437215	RPL35
ENSP00000437216	SIRT3
ENSP00000437217	SLC25A26
ENSP00000437218	CSRP1
ENSP00000437219	BAI2
ENSP00000449912	C12orf50
ENSP00000449913	HNRNPA1
ENSP00000449910	RDBP
ENSP00000449911	CPM
ENSP00000360578	ZFP64
ENSP00000449917	CNOT2
ENSP00000449914	RNF5
ENSP00000449915	PRRC2A
ENSP00000360575	ECHDC2
ENSP00000360576	NDOR1
ENSP00000360577	ECHDC2
ENSP00000360570	ZFP64
ENSP00000360571	ZFP64
ENSP00000360573	ZFP64
ENSP00000367034	HIST1H4C
ENSP00000367036	BANF2
ENSP00000367037	CEACAM1
ENSP00000367030	TRDMT1
ENSP00000446628	NAV3
ENSP00000367032	PLCXD3
ENSP00000367033	ZNF638
ENSP00000446625	ZNF641
ENSP00000446624	IL32
ENSP00000446627	MYL6
ENSP00000446626	MON2
ENSP00000367038	RRBP1
ENSP00000367039	SMARCE1
ENSP00000446623	IQCD
ENSP00000446622	TMEM106C
ENSP00000394392	SNCAIP
ENSP00000253861	EXOC4
ENSP00000290390	C2orf81
ENSP00000365895	HS6ST3
ENSP00000365896	TRIM10
ENSP00000365897	VSX1
ENSP00000365890	SULT1C3
ENSP00000365891	WAS
ENSP00000290399	SIM2
ENSP00000365898	FOXB2
ENSP00000365899	VSX1
ENSP00000380055	AC011500.2
ENSP00000376683	SIDT2
ENSP00000340542	PRYP4
ENSP00000376682	ABLIM1
